baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000024222.17	762.807680029817	-2.10862380040748	0.120817781703335	-17.4529259739691	3.27042094497054e-68	3.95644433266699e-66
ENSMUSG00000023039.17	500.664450214585	-3.38304976164433	0.193846724649943	-17.4521894437659	3.31287029102866e-68	3.98449695991337e-66
ENSMUSG00000036553.16	213.613324080703	-3.46328338700531	0.198513459339397	-17.4460885349046	3.68628050843825e-68	4.40798178485908e-66
ENSMUSG00000028392.15	269.26394074901	-6.47836106690812	0.371427565070653	-17.4417885912044	3.97438817369475e-68	4.72518207754157e-66
ENSMUSG00000038028.9	837.476185759905	-2.38064699787827	0.136597571307885	-17.4281795429026	5.04259012987083e-68	5.96091782952216e-66
ENSMUSG00000041649.13	472.853274555492	-3.3046783135292	0.189637511286679	-17.4262902476791	5.21194321649534e-68	6.12610621134313e-66
ENSMUSG00000037465.10	1633.62017198019	-1.81781897937835	0.104438386744571	-17.4056593178163	7.4740530695978e-68	8.73535230795309e-66
ENSMUSG00000078670.3	299.484820258915	-2.77805523604702	0.159633277256411	-17.402732586795	7.86593886358598e-68	9.14172344219118e-66
ENSMUSG00000050296.14	288.471396328104	-6.65673959275242	0.382712078020753	-17.3935968448622	9.22584448849453e-68	1.06622930130439e-65
ENSMUSG00000054423.14	202.529523881086	-4.24763325757256	0.245491636775467	-17.3025578930721	4.49959729090982e-67	5.17128717539175e-65
ENSMUSG00000092035.8	1371.61924931414	-1.63336604428256	0.0944715093461884	-17.2895093514081	5.64305383856914e-67	6.44960523527512e-65
ENSMUSG00000022596.3	1256.09232823558	-2.36848635452502	0.13752303277432	-17.222470350925	1.8013275250934e-66	2.04747596217622e-64
ENSMUSG00000032420.8	1357.39212732792	-2.44589433606463	0.142040801572733	-17.2196601890633	1.89095120801775e-66	2.1376015103969e-64
ENSMUSG00000049044.16	223.954814734128	-5.50582697458455	0.31977078153127	-17.2180427124051	1.94453794918295e-66	2.18623133449716e-64
ENSMUSG00000041605.16	270.766288034528	-2.97677206093873	0.173680222438032	-17.1393842036379	7.54454434446216e-66	8.43643182993993e-64
ENSMUSG00000052397.8	2218.2356718365	-1.91183386141781	0.111549981388812	-17.1388093266823	7.61950104361182e-66	8.47444183275256e-64
ENSMUSG00000092060.4	274.304882595437	-4.31421021780968	0.251892960708555	-17.127156732265	9.30945136205277e-66	1.02986427982238e-63
ENSMUSG00000014602.15	2159.07523342923	1.76804817847747	0.103386656188386	17.1013189096262	1.45083506533682e-65	1.5964587764161e-63
